blog,post_type,post_summary,post_url
womeninarthistory,photo,Henri Matisse,https://womeninarthistory.tumblr.com/post/167305102844/henri-matisse
womeninarthistory,photo,Sheila Hicks,https://womeninarthistory.tumblr.com/post/167305080964/sheila-hicks
womeninarthistory,photo,Etel Adnan,https://womeninarthistory.tumblr.com/post/167304992464/etel-adnan
womeninarthistory,photo,"Anemones, 1912, Odilon Redon ",https://womeninarthistory.tumblr.com/post/167304978904/anemones-1912-odilon-redon
womeninarthistory,photo,Maya Freelon Asante,https://womeninarthistory.tumblr.com/post/167304959624/maya-freelon-asante
womeninarthistory,photo,Jeanne Gaigher,https://womeninarthistory.tumblr.com/post/167304779789/jeanne-gaigher
womeninarthistory,photo,"La Ciotat, 1907, Othon Friesz",https://womeninarthistory.tumblr.com/post/167304742954/la-ciotat-1907-othon-friesz
womeninarthistory,photo,"detail, Lulie Wallace",https://womeninarthistory.tumblr.com/post/167304692014/detail-lulie-wallace
womeninarthistory,photo,Esther Stewart,https://womeninarthistory.tumblr.com/post/167304535229/esther-stewart
womeninarthistory,photo,"Nasturtiums, Dod Procter",https://womeninarthistory.tumblr.com/post/167304511769/nasturtiums-dod-procter
womeninarthistory,photo,"Summer/Winter, Grechten Albrecht",https://womeninarthistory.tumblr.com/post/167304484654/summerwinter-grechten-albrecht
womeninarthistory,photo,I’ve been getting everything ready for a shop update for the holidays! I will be selling these beautifully textured letterpress...,https://womeninarthistory.tumblr.com/post/167267993729/ive-been-getting-everything-ready-for-a-shop
womeninarthistory,photo,Soey Milk,https://womeninarthistory.tumblr.com/post/167085567854/soey-milk
womeninarthistory,photo,Kemi Mai,https://womeninarthistory.tumblr.com/post/167085520224/kemi-mai
womeninarthistory,photo,"Sarah, Duchess of Marlborough, Charles Jervas ",https://womeninarthistory.tumblr.com/post/167085503284/sarah-duchess-of-marlborough-charles-jervas
womeninarthistory,photo,Amy Sherald,https://womeninarthistory.tumblr.com/post/167085476569/amy-sherald
womeninarthistory,photo,"Fisher, 2014, Rosa Loy ",https://womeninarthistory.tumblr.com/post/167085453669/fisher-2014-rosa-loy
womeninarthistory,photo,Ayumi Takahashi,https://womeninarthistory.tumblr.com/post/167085428559/ayumi-takahashi
womeninarthistory,photo,"Quadra 01, Pamela Phatsimo Sunstrum,",https://womeninarthistory.tumblr.com/post/167085390694/quadra-01-pamela-phatsimo-sunstrum
womeninarthistory,photo,Tallulah Fontaine,https://womeninarthistory.tumblr.com/post/167085350244/tallulah-fontaine
mydaguerreotypeboyfriend,photo,"This special trove of boyfriends, newly unfrozen from a block of Antarctic ice, deserves a special mention. Submitted by Marian...",http://mydaguerreotypeboyfriend.tumblr.com/post/137051453154/this-special-trove-of-boyfriends-newly-unfrozen
